paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q24,,['q24_0_c5.png'],,['c5.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q25,,['q25_0_c5.png'],,['c5.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q1,,"['q143_0.png', 'q158_0.png', 'q141_0.png', 'q145_0.png', 'q16_0_c4.png', 'q17_0_c4.png', 'q147_0.png', 'q159_0.png', 'q142_0.png', 'q1_0_c1.png', 'q10_0_c2.png', 'q11_0_c3.png', 'q146_0.png', 'q144_0.png', 'q160_0.png', 'q151_0.png', 'q148_0.png', 'q153_0.png', 'q157_0.png', 'q15_0_c3.png', 'q14_0_c3.png', 'q155_0.png', 'q152_0.png', 'q150_0.png', 'q12_0_c3.png', 'q13_0_c3.png', 'q149_0.png', 'q18_0_c4.png', 'q19_0_c4.png', 'q154_0.png', 'q156_0.png']",,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q37,,['q37_0_c8.png'],,['c8.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q36,,['q36_0_c8.png'],,['c8.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q41,,['q41_0_c9.png'],,['c9.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q46,,['q46_0_c10.png'],,['c10.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q10,,['q10_0_c2.png'],,['c2.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q11,,['q11_0_c3.png'],,['c3.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q146,,['q146_0.png'],,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q33,,['q33_0_c7.png'],,['c7.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q32,,['q32_0_c7.png'],,['c7.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q144,,['q144_0.png'],,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q160,,['q160_0.png'],,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q151,,['q151_0.png'],,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q21,,['q21_0_c5.png'],,['c5.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q4,,"['q47_0_c10.png', 'q40_0_c8.png', 'q41_0_c9.png', 'q46_0_c10.png', 'q4_0_c1.png', 'q45_0_c9.png', 'q44_0_c9.png', 'q48_0_c10.png', 'q42_0_c9.png', 'q43_0_c9.png', 'q49_0_c10.png']",,['c10.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q5,,"['q5_0_c1.png', 'q50_0_c10.png']",,['c10.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q20,,['q20_0_c4.png'],,['c4.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q45,,['q45_0_c9.png'],,['c9.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q44,,['q44_0_c9.png'],,['c9.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q148,,['q148_0.png'],,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q39,,['q39_0_c8.png'],,['c8.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q38,,['q38_0_c8.png'],,['c8.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q153,,['q153_0.png'],,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q157,,['q157_0.png'],,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q15,,"['q158_0.png', 'q159_0.png', 'q151_0.png', 'q153_0.png', 'q157_0.png', 'q15_0_c3.png', 'q155_0.png', 'q152_0.png', 'q150_0.png', 'q154_0.png', 'q156_0.png']",,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q14,,"['q143_0.png', 'q141_0.png', 'q145_0.png', 'q147_0.png', 'q142_0.png', 'q146_0.png', 'q144_0.png', 'q148_0.png', 'q14_0_c3.png', 'q149_0.png']",,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q155,,['q155_0.png'],,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q48,,['q48_0_c10.png'],,['c10.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q152,,['q152_0.png'],,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q30,,['q30_0_c6.png'],,['c6.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q150,,['q150_0.png'],,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q12,,['q12_0_c3.png'],,['c3.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q13,,['q13_0_c3.png'],,['c3.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q149,,['q149_0.png'],,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q31,,['q31_0_c7.png'],,['c7.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q18,,['q18_0_c4.png'],,['c4.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q19,,['q19_0_c4.png'],,['c4.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q154,,['q154_0.png'],,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q3,,"['q34_0_c7.png', 'q35_0_c7.png', 'q37_0_c8.png', 'q36_0_c8.png', 'q33_0_c7.png', 'q32_0_c7.png', 'q39_0_c8.png', 'q38_0_c8.png', 'q30_0_c6.png', 'q31_0_c7.png', 'q3_0_c1.png']",,"['c1.png', 'c10.png']",,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q2,,"['q28_0_c6.png', 'q29_0_c6.png', 'q23_0_c5.png', 'q22_0_c5.png', 'q24_0_c5.png', 'q25_0_c5.png', 'q21_0_c5.png', 'q20_0_c4.png', 'q2_0_c1.png', 'q26_0_c6.png', 'q27_0_c6.png']",,['c6.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q8,,['q8_0_c2.png'],,['c2.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q9,,['q9_0_c2.png'],,['c2.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q50,,['q50_0_c10.png'],,['c10.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q42,,['q42_0_c9.png'],,['c9.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q43,,['q43_0_c9.png'],,['c9.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q156,,['q156_0.png'],,[],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q26,,['q26_0_c6.png'],,['c6.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q27,,['q27_0_c6.png'],,['c6.png'],,,,
ffcf674e-119a-5f80-b371-4b4ecf1a6f27,q49,,['q49_0_c10.png'],,['c10.png'],,,,
