paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input,gemini_inferences
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q17,2,['q17_0_c3.png'],,['c3.png'],,,A,A-D,, A
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q18,2,['q18_0_c3.png'],,['c3.png'],,,B,A-D,, A
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q19,3,['q19_0_c3.png'],,['c3.png'],,,C,A-D,, A
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q20,3,['q20_0_c3.png'],,['c3.png'],,,A,A-D,, A
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q21,3,['q21_0_c4.png'],,['c4.png'],,,D,A-D,, A
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q22,3,['q22_0_c4.png'],,['c4.png'],,,B,A-D,, A
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q23,3,['q23_0_c4.png'],,['c4.png'],,,C,A-D,, C
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q24,3,['q24_0_c4.png'],,['c4.png'],,,D,A-D,, d
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q25,3,['q25_0_c4.png'],,['c4.png'],,,C,A-D,, C
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q26,3,['q26_0.png'],,[],,,D,A-D,, (D)
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q27,3,['q27_0.png'],,[],,,C,A-D,, (B)
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q28,4,['q28_0.png'],,[],,,B,A-D,, D
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q29,4,['q29_0.png'],,[],,,A,A-D,, (B)
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q30,4,['q30_0.png'],,[],,,D,A-D,, A
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q31,4,['q31_0.png'],,[],,,B,A-D,, d
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q32,4,['q32_0.png'],,[],,,"[C,D]",A-D,, C
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q33,4,['q33_0.png'],,[],,,A,A-D,, A
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q34,4,['q34_0.png'],,[],,,C,A-D,, A
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q35,4,['q35_0.png'],,[],,,B,A-D,, (B)
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q36,4,['q36_0.png'],,[],,,A,A-D,, (A)
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q37,4,['q37_0.png'],,[],,,D,A-D,, (C)
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q38,5,['q38_0.png'],,[],,,A,A-D,, (c)
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q39,5,['q39_0.png'],,[],,,,A-D,, (A) Anjali
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q40,5,['q40_0.png'],,[],,,A,A-D,, (c)
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q41,5,['q41_0.png'],,[],,,C,A-D,, (C)
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q42,5,['q42_0.png'],,[],,,B,A-D,, (C) West
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q43,5,['q43_0.png'],,[],,,A,A-D,, C
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q44,5,['q44_0.png'],,[],,,B,A-D,, (a) 90°
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q45,5,['q45_0.png'],,[],,,A,A-D,, A
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q46,5,['q46_0.png'],,[],,,C,A-D,, A
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q47,5,['q47_0.png'],,[],,,D,A-D,, C
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q48,6,['q48_0.png'],,[],,,C,A-D,, D
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q49,6,['q49_0.png'],,[],,,D,A-D,, A
9cf83db6-9bdb-5567-babd-e7d10b24d34b,q50,6,['q50_0.png'],,[],,,C,A-D,, (B)
